keyword,city,volume_nz,category,country
shipping container hire auckland,Auckland,20,Mobile Storage/Containers,New Zealand
container rental auckland,Auckland,90,Mobile Storage/Containers,New Zealand
excavator hire auckland,Auckland,40,General Equipment,New Zealand
equipment hire auckland,Auckland,70,General Equipment,New Zealand
digger hire auckland,Auckland,140,General Equipment,New Zealand
plant hire auckland,Auckland,70,General Equipment,New Zealand
shipping container hire wellington,Wellington,10,Mobile Storage/Containers,New Zealand
excavator hire wellington,Wellington,20,General Equipment,New Zealand
equipment hire wellington,Wellington,40,General Equipment,New Zealand
digger hire wellington,Wellington,70,General Equipment,New Zealand
plant hire wellington,Wellington,30,General Equipment,New Zealand
shipping container hire christchurch,Christchurch,30,Mobile Storage/Containers,New Zealand
container rental christchurch,Christchurch,10,Mobile Storage/Containers,New Zealand
excavator hire christchurch,Christchurch,140,General Equipment,New Zealand
equipment hire christchurch,Christchurch,110,General Equipment,New Zealand
digger hire christchurch,Christchurch,140,General Equipment,New Zealand
plant hire christchurch,Christchurch,30,General Equipment,New Zealand
shipping container hire hamilton,Hamilton,10,Mobile Storage/Containers,New Zealand
excavator hire hamilton,Hamilton,110,General Equipment,New Zealand
equipment hire hamilton,Hamilton,30,General Equipment,New Zealand
digger hire hamilton,Hamilton,110,General Equipment,New Zealand
plant hire hamilton,Hamilton,20,General Equipment,New Zealand
shipping container hire tauranga,Tauranga,10,Mobile Storage/Containers,New Zealand
excavator hire tauranga,Tauranga,20,General Equipment,New Zealand
equipment hire tauranga,Tauranga,90,General Equipment,New Zealand
digger hire tauranga,Tauranga,90,General Equipment,New Zealand
plant hire tauranga,Tauranga,20,General Equipment,New Zealand
