keyword,volume_au,volume_nz,category,ratio_nz_to_au
container,8100,3600,Mobile Storage/Containers,0.444
shipping container,6600,1600,Mobile Storage/Containers,0.242
containers,5400,3600,Mobile Storage/Containers,0.667
excavator hire,4400,210,General Equipment,0.048
shipping containers for sale,3600,880,Mobile Storage/Containers,0.244
shorees,3600,480,Uncategorized,0.133
shipping containers shipping containers,2900,1600,Mobile Storage/Containers,0.552
shipping container container,2900,1600,Mobile Storage/Containers,0.552
storage container,2900,4400,Mobile Storage/Containers,1.517
shipping containers shipping containers,2900,1600,Mobile Storage/Containers,0.552
hire,2900,1600,Uncategorized,0.552
acrow props,2900,720,Trench Safety/Specialty,0.248
shipping container wanted to buy,2400,880,Mobile Storage/Containers,0.367
shipping containers,2400,1600,Mobile Storage/Containers,0.667
storage in canberra,2400,10,Mobile Storage/Containers,0.004
props,2400,880,Trench Safety/Specialty,0.367
royal wolf,1900,480,Uncategorized,0.253
storage moorebank,1900,10,Mobile Storage/Containers,0.005
shipping container dimensions,1900,480,Mobile Storage/Containers,0.253
storage canberra,1900,10,Mobile Storage/Containers,0.005
manhole,1900,720,Uncategorized,0.379
sshore,1900,480,Uncategorized,0.253
hydraulic jack,1900,480,Uncategorized,0.253
shipping container for sale,1600,880,Mobile Storage/Containers,0.55
shipping containers shipping,1600,1600,Mobile Storage/Containers,1.0
geelong storage,1600,10,Mobile Storage/Containers,0.006
kwik koffee,1600,10,Uncategorized,0.006
orange hire,1600,10,Uncategorized,0.006
Client J,1300,110,Uncategorized,0.085
20ft container dimensions,1300,590,Mobile Storage/Containers,0.454
shipping container width,1300,480,Mobile Storage/Containers,0.369
storage hume,1300,0,Mobile Storage/Containers,0.0
total control,1300,480,Uncategorized,0.369
lockable storage box,1300,260,Mobile Storage/Containers,0.2
storage rental,1300,90,Mobile Storage/Containers,0.069
chl 7,1300,590,Uncategorized,0.454
20ft container dimensions,1300,590,Mobile Storage/Containers,0.454
dubbo storage,1300,10,Mobile Storage/Containers,0.008
Client J,1300,110,Uncategorized,0.085
shore hire,1300,20,Uncategorized,0.015
meaning of propping,1300,390,Trench Safety/Specialty,0.3
acro props,1300,720,Trench Safety/Specialty,0.554
home shored services,1300,0,Uncategorized,0.0
acro prop,1300,720,Trench Safety/Specialty,0.554
