keyword,volume,difficulty,current_position,current_brand,category,intent,competitor_best_position,opportunity_score,gap_reason
container,8100,25,6,Royal Wolf,Mobile Storage/Containers,Commercial,0,3.76,No competitor ranking
containers,5400,19,14,Royal Wolf,Mobile Storage/Containers,Commercial,0,2.942,No competitor ranking
shipping container wanted to buy,2400,10,1,Royal Wolf,Mobile Storage/Containers,Transactional,0,2.197,No competitor ranking
shipping containers for sale,3600,27,1,Royal Wolf,Mobile Storage/Containers,Commercial,0,2.103,No competitor ranking
acrow props,2900,8,9,Shore Hire,Trench Safety/Specialty,Commercial,0,2.029,No competitor ranking
shipping containers shipping containers,2900,9,5,Royal Wolf,Mobile Storage/Containers,Commercial,0,2.018,No competitor ranking
shipping containers shipping containers,2900,9,18,Royal Wolf,Mobile Storage/Containers,Commercial,0,2.018,No competitor ranking
shipping container container,2900,12,5,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.984,No competitor ranking
shipping container container,2900,12,20,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.984,No competitor ranking
storage container,2900,35,6,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.706,No competitor ranking
storage in canberra,2400,24,18,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.615,No competitor ranking
shipping container dimensions,1900,19,14,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.416,No competitor ranking
storage canberra,1900,21,17,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.399,No competitor ranking
props,2400,44,13,Shore Hire,Trench Safety/Specialty,Commercial,0,1.387,No competitor ranking
storage moorebank,1900,23,5,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.381,No competitor ranking
geelong storage,1600,23,14,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.224,No competitor ranking
shipping container for sale,1600,25,2,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.208,No competitor ranking
shipping containers shipping,1600,28,3,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.184,No competitor ranking
acro prop,1300,8,19,Shore Hire,Trench Safety/Specialty,Commercial,0,1.157,No competitor ranking
acro props,1300,9,16,Shore Hire,Trench Safety/Specialty,Commercial,0,1.151,No competitor ranking
dubbo storage,1300,16,18,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.106,No competitor ranking
storage hume,1300,17,12,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.099,No competitor ranking
shipping container width,1300,26,5,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.038,No competitor ranking
20ft container dimensions,1300,28,4,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.024,No competitor ranking
lockable storage box,1300,28,14,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.024,No competitor ranking
20ft container dimensions,1300,28,15,Royal Wolf,Mobile Storage/Containers,Commercial,0,1.024,No competitor ranking
hire excavator,880,25,7,Orange Hire,General Equipment,Transactional,0,0.994,No competitor ranking
hire excavator,880,25,19,Orange Hire,General Equipment,Transactional,0,0.994,No competitor ranking
