keyword,city,volume_au,category,country
shipping container hire sydney,Sydney,70,Mobile Storage/Containers,Australia
container rental sydney,Sydney,10,Mobile Storage/Containers,Australia
excavator hire sydney,Sydney,210,General Equipment,Australia
equipment hire sydney,Sydney,170,General Equipment,Australia
digger hire sydney,Sydney,10,General Equipment,Australia
plant hire sydney,Sydney,320,General Equipment,Australia
shipping container hire melbourne,Melbourne,90,Mobile Storage/Containers,Australia
container rental melbourne,Melbourne,10,Mobile Storage/Containers,Australia
excavator hire melbourne,Melbourne,320,General Equipment,Australia
equipment hire melbourne,Melbourne,260,General Equipment,Australia
digger hire melbourne,Melbourne,70,General Equipment,Australia
plant hire melbourne,Melbourne,260,General Equipment,Australia
shipping container hire brisbane,Brisbane,210,Mobile Storage/Containers,Australia
container rental brisbane,Brisbane,10,Mobile Storage/Containers,Australia
excavator hire brisbane,Brisbane,210,General Equipment,Australia
equipment hire brisbane,Brisbane,210,General Equipment,Australia
digger hire brisbane,Brisbane,110,General Equipment,Australia
plant hire brisbane,Brisbane,210,General Equipment,Australia
shipping container hire perth,Perth,70,Mobile Storage/Containers,Australia
excavator hire perth,Perth,320,General Equipment,Australia
equipment hire perth,Perth,260,General Equipment,Australia
digger hire perth,Perth,110,General Equipment,Australia
plant hire perth,Perth,210,General Equipment,Australia
shipping container hire adelaide,Adelaide,70,Mobile Storage/Containers,Australia
excavator hire adelaide,Adelaide,170,General Equipment,Australia
equipment hire adelaide,Adelaide,210,General Equipment,Australia
digger hire adelaide,Adelaide,40,General Equipment,Australia
plant hire adelaide,Adelaide,110,General Equipment,Australia
