Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,Brand,Category,Intent,Has_Local_Modifier
container,6,6,8100,25,1.59,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,105,0.65,166,0.86,1810000000,"66,66,66,100,81,100,81,54,66,81,81,81",2025-11-02,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container,2,2,6600,59,1.89,https://www.royalwolf.com.au/,198,1.23,374,0.7,337000000,"16,16,16,13,20,13,13,16,16,16,24,20",2025-11-26,"Local pack, Sitelinks, Video, People also ask, Popular products, Related searches, See results about",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container,18,18,6600,59,1.89,https://www.royalwolf.com.au/shipping-containers,9,0.05,17,0.7,337000000,"16,16,16,13,20,13,13,16,16,16,24,20",2025-11-26,"Local pack, Sitelinks, Video, People also ask, Popular products, Related searches, See results about",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
containers,14,14,5400,19,1.59,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,21,0.13,33,0.86,1700000000,"36,54,36,66,54,100,54,44,36,36,29,36",2025-12-08,"Sitelinks, Image, Popular products, Related searches","informational, transactional",Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping containers for sale,1,1,3600,27,1.74,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,158,0.98,274,0.96,73000000,"44,44,35,29,44,35,35,35,35,44,54,66",2025-12-10,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Popular products, Related searches, See results about",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,True
shipping containers shipping containers,5,5,2900,9,2.04,https://www.royalwolf.com.au/shipping-containers,63,0.39,128,0.66,785000000,"1,1,2,0,4,19,8,66,81,100,29,0",2025-10-04,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container container,5,5,2900,12,1.89,https://www.royalwolf.com.au/shipping-containers,20,0.12,37,0.7,213000000,"1,2,0,4,19,8,66,81,100,29,0,5",2025-11-28,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
storage container,6,6,2900,35,2.39,https://www.royalwolf.com.au/product/self-storage,87,0.54,207,1.0,480000000,"29,54,19,66,44,23,66,35,19,19,23,29",2025-11-11,"Knowledge panel, Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping containers shipping containers,18,18,2900,9,2.04,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,4,0.02,8,0.66,785000000,"1,1,2,0,4,19,8,66,81,100,29,0",2025-10-04,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
shipping container container,20,20,2900,12,1.89,https://www.royalwolf.com.au/product/2nd-hand-used-shipping-containers,4,0.02,7,0.7,213000000,"1,2,0,4,19,8,66,81,100,29,0,5",2025-11-28,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,Royal Wolf,Mobile Storage/Containers,Commercial,False
